p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
12,19,6.0,33,19.0,14.0,352.0,347.0 
8,15,6.0,27,15.0,9.0,368.0,362.0 
7,12,5.0,24,12.0,6.0,364.0,358.0 
11,20,9.0,34,20.0,13.0,361.0,354.0 
14,24,9.0,33,24.0,17.0,363.0,356.0 
20,29,15.0,41,29.0,22.0,359.0,352.0 
17,24,10.0,34,24.0,18.0,365.0,359.0 
15,18,9.0,30,18.0,13.0,360.0,355.0 
14,22,13.0,33,22.0,16.0,364.0,358.0 
11,19,7.0,35,19.0,13.0,361.0,355.0 
10,15,5.0,29,15.0,10.0,358.0,353.0 
12,19,11.0,32,19.0,12.0,361.0,354.0 
7,10,4.0,26,10.0,6.0,352.0,348.0 
9,17,7.0,30,17.0,11.0,361.0,355.0 
12,28,10.0,35,28.0,21.0,374.0,367.0 
9,23,8.0,32,23.0,16.0,372.0,365.0 
13,23,7.0,34,23.0,17.0,364.0,358.0 
12,22,7.0,35,22.0,16.0,359.0,353.0 
10,20,5.0,30,20.0,15.0,355.0,350.0 
7,16,6.0,30,16.0,9.0,351.0,344.0 
16,26,12.0,37,26.0,19.0,355.0,348.0 
14,26,11.0,40,26.0,20.0,358.0,352.0 
16,24,9.0,36,24.0,18.0,352.0,346.0 
18,26,11.0,36,26.0,20.0,357.0,351.0 
18,18,12.0,32,18.0,11.0,350.0,343.0 
19,24,11.0,37,24.0,18.0,356.0,350.0 
18,25,13.0,41,25.0,19.0,349.0,343.0 
15,24,12.0,31,24.0,17.0,364.0,357.0 
14,20,13.0,29,20.0,14.0,370.0,364.0 
14,22,12.0,33,22.0,15.0,367.0,360.0 
11,19,9.0,31,19.0,13.0,369.0,363.0 
14,19,9.0,31,19.0,13.0,369.0,363.0 
16,21,12.0,36,21.0,14.0,363.0,356.0 
14,23,12.0,39,23.0,16.0,362.0,355.0 
17,21,11.0,37,21.0,15.0,355.0,349.0 
19,28,15.0,39,28.0,21.0,363.0,356.0 
