p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
17,19,17.0,33,32.0,31.0,388.0,387.0 
12,13,12.0,27,25.0,24.0,387.0,386.0 
16,17,16.0,24,23.0,22.0,390.0,389.0 
15,16,14.0,34,30.0,29.0,389.0,388.0 
16,16,14.0,33,30.0,29.0,388.0,387.0 
18,18,17.0,41,40.0,39.0,391.0,390.0 
15,15,15.0,34,31.0,30.0,389.0,388.0 
16,17,16.0,30,28.0,27.0,390.0,389.0 
20,21,20.0,33,33.0,32.0,390.0,389.0 
14,15,14.0,35,33.0,32.0,389.0,388.0 
16,16,15.0,29,26.0,25.0,388.0,387.0 
12,13,10.0,32,28.0,27.0,390.0,389.0 
12,13,11.0,26,23.0,22.0,390.0,389.0 
16,15,14.0,30,27.0,26.0,390.0,389.0 
14,12,11.0,35,31.0,30.0,387.0,386.0 
17,16,15.0,32,29.0,28.0,385.0,384.0 
13,16,12.0,34,31.0,30.0,384.0,383.0 
16,20,15.0,35,31.0,30.0,383.0,382.0 
15,15,13.0,30,26.0,25.0,383.0,382.0 
16,18,15.0,30,27.0,26.0,386.0,385.0 
14,15,12.0,37,33.0,32.0,386.0,385.0 
15,19,13.0,40,35.0,34.0,384.0,383.0 
15,19,13.0,36,33.0,32.0,385.0,384.0 
14,17,13.0,36,34.0,33.0,386.0,385.0 
11,13,10.0,32,28.0,27.0,384.0,383.0 
15,19,15.0,37,36.0,35.0,387.0,386.0 
17,20,17.0,41,39.0,38.0,388.0,387.0 
15,19,15.0,31,29.0,28.0,387.0,386.0 
14,17,13.0,29,29.0,28.0,389.0,388.0 
16,18,14.0,33,30.0,29.0,384.0,383.0 
13,14,11.0,31,29.0,28.0,385.0,384.0 
21,20,20.0,31,28.0,27.0,384.0,383.0 
18,18,17.0,36,32.0,31.0,384.0,383.0 
17,18,16.0,39,35.0,34.0,384.0,383.0 
19,19,17.0,37,32.0,31.0,379.0,378.0 
20,20,19.0,39,35.0,34.0,383.0,382.0 
