20805188,"guia_folha",Guia Folha,158991,1416244276473
17781576,"OfficialWRC",WRC,159045,1416244276473
195516975,"Joselyn_Dumas",Joselyn Dumas,159149,1416244276473
158110011,"sorluciacaram",Sor Lucía Caram,157159,1416244276473
42619515,"juancamus",Juan Camus,155070,1416244276473
1057266128,"AndyRaconte",Andy,156813,1416244276473
69183155,"detikcom",detikcom,8523085,1416244337580
41043596,"jorgeemateus",Jorge & Mateus,2895864,1416244337581
125225621,"TRANSTV_CORP",TRANS TV,2797772,1416244337581
124839730,"TRANS7",TRANS7,2754062,1416244337581
114557496,"urgantcom",Ivan Urgant,2483658,1416244337581
88910796,"eseryenenler",Eser YENENLER,2214190,1416244337581
701699418,"AHMTKURAL",Ahmet Kural,2184616,1416244337581
468921945,"fbbreal",Fatima Bernardes,1484734,1416244337581
7831092,"tacobell",Taco Bell,1436023,1416244337581
366666686,"kivanctatlitug",K?vanç Tatl?tu?,1378441,1416244337581
264771201,"TolgaCevik",Tolga Cevik,1373430,1416244337581
99092563,"gulsenin",Gül?en,1362967,1416244337581
71436318,"KompasTV",KOMPAS TV,1275875,1416244337581
99918629,"channelone_rus",?????? ?????,1226274,1416244337581
16203586,"dougulman",Doug Ulman,1089997,1416244337581
141817380,"Anitta",Anitta,1072329,1416244337581
122342030,"maya_karin",Maya Karin,991298,1416244337581
83512464,"ANDREMARQUES79",ANDRE  A S MARQUES,954323,1416244337581
88911946,"ibrahimbuyukak",?brahim BÜYÜKAK,918060,1416244337581
89159940,"ousankoc",O?uzhan KOÇ,850732,1416244337581
324076260,"bysTaXx",sTaXx,851868,1416244337581
14594698,"UOLNoticias",UOL Notícias,846288,1416244337581
72854177,"OLeoSantana",Léo Santana,836488,1416244337581
464692152,"AssalaOfficial",Assala,781993,1416244337581
295429897,"sermiyanmidyat",sermiyan midyat,737546,1416244337581
35015510,"nando_reis",Nando Reis,718928,1416244337581
14595245,"UOLEsporte",UOL Esporte,716616,1416244337581
104683173,"Excelsior",Periódico Excélsior,715016,1416244337581
163218185,"LitaRee_real",Rita Lee,659231,1416244337581
242796587,"eva_hache",Eva Hache,650708,1416244337581
132539757,"CremoniniCesare",Cesare Cremonini,613932,1416244337581
43208247,"siteEgo",Ego,590049,1416244337581
41931380,"Projota",Projota,561697,1416244337581
594564886,"HazalKaya110",Hazal Kaya,550787,1416244337581
174351951,"marthahigareda",Martha Higareda,520562,1416244337581
258703448,"APJAbdulKalam",APJ Abdul Kalam,508073,1416244337581
1917731,"thehill",The Hill,499773,1416244337581
118288671,"netmedia_info",NET MEDIA ,476973,1416244337581
27168893,"danielamercury",Daniela Mercury,456747,1416244337581
1407232710,"TheComment_NET",The Comment,455696,1416244337581
156932849,"NadalMiki",Miki Nadal,448244,1416244337581
310555434,"BuseTerim",Buse Terim,430374,1416244337581
396851667,"TownGamePlay",iTownGamePlay,431953,1416244337581
92535705,"DemirBetul",Betül Demir,399396,1416244337582
26809005,"goal_intl",Goal,396146,1416244337582
197133642,"DDeryaBaykal",Derya Baykal,390689,1416244337582
58951368,"monicabergamo",Mônica Bergamo,384205,1416244337582
31524543,"KontrolFreek",KontrolFreek,384515,1416244337582
256495314,"firstpostin",Firstpost,385081,1416244337582
208442526,"Philae2014",Philae Lander,384300,1416244337582
114310653,"PauloGustavo31",Paulo Gustavo,356285,1416244337582
50091650,"Telemetro",Telemetro,314951,1416244337582
