p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
20,19,16.0,33,19.0,18.0,305.0,304.0 
16,18,15.0,27,18.0,16.0,309.0,307.0 
18,18,16.0,24,18.0,16.0,308.0,306.0 
23,25,21.0,34,25.0,22.0,309.0,306.0 
21,24,18.0,33,24.0,23.0,309.0,308.0 
28,32,27.0,41,32.0,29.0,313.0,310.0 
25,27,21.0,34,27.0,25.0,310.0,308.0 
21,18,13.0,30,18.0,17.0,307.0,306.0 
24,24,18.0,33,24.0,21.0,311.0,308.0 
24,24,18.0,35,24.0,21.0,314.0,311.0 
21,20,17.0,29,20.0,17.0,314.0,311.0 
25,20,18.0,32,20.0,17.0,313.0,310.0 
20,17,13.0,26,17.0,14.0,314.0,311.0 
19,21,15.0,30,21.0,18.0,312.0,309.0 
24,23,17.0,35,23.0,20.0,308.0,305.0 
18,21,13.0,32,21.0,20.0,307.0,306.0 
24,22,16.0,34,22.0,20.0,311.0,309.0 
24,24,19.0,35,24.0,21.0,307.0,304.0 
17,20,13.0,30,20.0,17.0,307.0,304.0 
18,20,15.0,30,20.0,17.0,309.0,306.0 
25,25,19.0,37,25.0,22.0,311.0,308.0 
27,30,23.0,40,30.0,27.0,308.0,305.0 
23,24,19.0,36,24.0,22.0,306.0,304.0 
26,28,23.0,36,28.0,25.0,301.0,298.0 
24,23,18.0,32,23.0,22.0,298.0,297.0 
32,27,23.0,37,27.0,24.0,298.0,295.0 
31,29,24.0,41,29.0,27.0,299.0,297.0 
23,19,14.0,31,19.0,16.0,302.0,299.0 
26,17,16.0,29,17.0,14.0,299.0,296.0 
30,24,23.0,33,24.0,21.0,299.0,296.0 
27,19,17.0,31,19.0,16.0,300.0,297.0 
27,21,21.0,31,21.0,18.0,298.0,295.0 
27,22,19.0,36,22.0,20.0,299.0,297.0 
30,25,22.0,39,25.0,23.0,300.0,298.0 
29,22,20.0,37,22.0,20.0,301.0,299.0 
33,25,23.0,39,25.0,22.0,300.0,297.0 
