p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
6,5,5.0,33,27.0,26.0,310.0,309.0 
5,5,5.0,27,22.0,20.0,310.0,308.0 
0,0,0.0,24,13.0,13.0,306.0,306.0 
2,2,2.0,34,26.0,24.0,311.0,309.0 
2,1,1.0,33,27.0,26.0,311.0,310.0 
1,1,1.0,41,32.0,31.0,312.0,311.0 
3,3,3.0,34,27.0,25.0,313.0,311.0 
4,3,3.0,30,22.0,21.0,312.0,311.0 
3,3,3.0,33,23.0,21.0,314.0,312.0 
2,2,2.0,35,25.0,23.0,317.0,315.0 
0,0,0.0,29,19.0,19.0,313.0,313.0 
3,3,3.0,32,21.0,19.0,312.0,310.0 
2,2,2.0,26,15.0,13.0,311.0,309.0 
1,1,1.0,30,23.0,22.0,312.0,311.0 
1,1,1.0,35,26.0,25.0,313.0,312.0 
5,5,5.0,32,21.0,19.0,312.0,310.0 
3,3,3.0,34,23.0,21.0,310.0,308.0 
3,3,3.0,35,27.0,25.0,307.0,305.0 
3,2,2.0,30,25.0,24.0,305.0,304.0 
3,2,2.0,30,23.0,21.0,309.0,307.0 
3,2,2.0,37,26.0,25.0,312.0,311.0 
5,5,5.0,40,30.0,28.0,311.0,309.0 
2,2,2.0,36,26.0,24.0,309.0,307.0 
4,4,4.0,36,25.0,23.0,308.0,306.0 
4,4,4.0,32,24.0,22.0,309.0,307.0 
4,4,4.0,37,32.0,30.0,307.0,305.0 
6,6,6.0,41,33.0,31.0,307.0,305.0 
5,4,4.0,31,21.0,20.0,305.0,304.0 
6,6,6.0,29,21.0,19.0,307.0,305.0 
4,4,4.0,33,24.0,22.0,307.0,305.0 
2,2,2.0,31,22.0,20.0,307.0,305.0 
3,3,3.0,31,24.0,22.0,305.0,303.0 
5,5,5.0,36,30.0,28.0,309.0,307.0 
4,4,4.0,39,31.0,29.0,309.0,307.0 
3,3,3.0,37,31.0,29.0,314.0,312.0 
4,4,4.0,39,33.0,31.0,309.0,307.0 
