p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
4,5,3.0,33,27.0,25.0,313.0,311.0 
4,3,3.0,27,20.0,18.0,312.0,310.0 
2,1,0.0,24,14.0,14.0,308.0,308.0 
1,2,0.0,34,26.0,26.0,313.0,313.0 
2,2,0.0,33,28.0,28.0,312.0,312.0 
2,4,1.0,41,35.0,33.0,316.0,314.0 
1,5,1.0,34,29.0,27.0,318.0,316.0 
1,5,1.0,30,24.0,22.0,317.0,315.0 
0,5,0.0,33,25.0,23.0,318.0,316.0 
1,3,0.0,35,26.0,26.0,322.0,322.0 
1,4,0.0,29,23.0,21.0,322.0,320.0 
4,4,2.0,32,22.0,20.0,319.0,317.0 
5,4,0.0,26,17.0,16.0,318.0,317.0 
1,2,0.0,30,24.0,23.0,320.0,319.0 
4,3,2.0,35,28.0,26.0,320.0,318.0 
8,7,4.0,32,23.0,21.0,318.0,316.0 
7,4,1.0,34,24.0,23.0,316.0,315.0 
5,3,2.0,35,27.0,25.0,314.0,312.0 
2,1,1.0,30,24.0,23.0,314.0,313.0 
2,3,1.0,30,24.0,23.0,318.0,317.0 
4,5,2.0,37,29.0,27.0,322.0,320.0 
2,7,2.0,40,32.0,30.0,319.0,317.0 
3,3,2.0,36,27.0,25.0,317.0,315.0 
6,7,4.0,36,28.0,26.0,315.0,313.0 
3,5,2.0,32,25.0,23.0,315.0,313.0 
2,4,2.0,37,32.0,30.0,313.0,311.0 
1,7,1.0,41,34.0,33.0,314.0,313.0 
4,6,3.0,31,23.0,21.0,313.0,311.0 
5,6,3.0,29,21.0,19.0,315.0,313.0 
4,4,3.0,33,24.0,22.0,315.0,313.0 
3,3,2.0,31,23.0,22.0,315.0,314.0 
3,3,3.0,31,24.0,22.0,313.0,311.0 
4,6,3.0,36,31.0,29.0,317.0,315.0 
2,6,2.0,39,33.0,31.0,315.0,313.0 
1,6,1.0,37,34.0,33.0,318.0,317.0 
2,6,2.0,39,35.0,33.0,313.0,311.0 
