{1381345892=<>, 45710831==, 27091328==},1420581482643
{532171645=<>, 818340=<>, 44426926==},1420581542643
{7867072==, 1454742764=<>, 57333521=<>},1420581602643
{1381345892=<>, 17070252==, 57333521==},1420581662643
{140080129=<>, 1454742764==, 57333521==},1420581722643
{1381345892=<>, 45710831=<>, 12413892=<>},1420581782643
{1581203119=<>, 12413892==, 57333521==},1420581842643
{1581203119==, 1381345892==, 10005212=<>},1420581902643
{140080129=<>, 12413892==, 57333521==},1420581962643
{14845376=<>, 316053072=<>, 140080129=<>},1420582022643
{45710831==, 316053072==, 17437735=<>},1420582082643
{45710831==, 57333521=<>, 17437735==},1420582142643
{1381345892==, 10005212=<>, 7867072==},1420582202643
{45710831==, 120985729=<>, 89787221=<>},1420582262643
{70314632=<>, 7867072==, 57333521==},1420582322643
{14845376==, 180026716=<>, 15856366==},1420582382643
{7867072==, 12273252==, 89787221==},1420582442643
{14845376=<>, 45710831==, 15856366==},1420582502643
{1618007706=<>, 57333521=<>, 89787221==},1420582562643
{226493139=<>, 44426926=<>, 12273252=<>},1420582622643
{140080129=<>, 57333521==, 15856366=<>},1420582682643
{14845376==, 107024149=<>, 180026716==},1420582742643
{1454742764=<>, 34409159=<>, 89787221==},1420582802643
{1381345892=<>, 15601977==, 89787221==},1420582862643
{17698956=<>, 34454970=<>, 1618007706==},1420582922643
{14845376==, 17698956==, 15111389=<>},1420582982643
{180026716=<>, 70314632==, 12273252==},1420583042643
{202777395==, 27091328=<>, 12273252==},1420583102643
{17698956=<>, 7867072==, 811303==},1420583162643
{180026716==, 7867072==, 811303==},1420583222643
{20745130==, 44426926=<>, 811303==},1420583282643
{20745130==, 2703171=<>, 811303==},1420583342643
{14845376=<>, 15111389==, 811303==},1420583402643
{14845376==, 180026716=<>, 20745130=<>},1420583462643
