{73417273=<>, 278093318=<>, 14192680=<>, 263131563=<>, 14787749=<>},1420578662643
{28516164=<>, 17604456=<>, 25368027=<>, 1886740873=<>, 22192440=<>},1420578722643
{90714989=<>, 17472921=<>, 24849868=<>, 24206345=<>, 467431144=<>},1420578782643
{140080129=<>, 388784593=<>, 19781206=<>, 27091328=<>, 14845376=<>},1420578842643
{19274498=<>, 17070252=<>, 16220541=<>, 12273252=<>, 44426926=<>},1420578902643
{384479689=<>, 180026716=<>, 16045956=<>, 41644754=<>, 326821147=<>},1420578962643
{16262688=<>, 16101657=<>, 818340=<>, 14745100=<>, 93644596=<>},1420579022643
{384940104=<>, 8312862=<>, 130447060=<>, 104291835=<>, 338262255=<>},1420579082643
{50023090=<>, 44682474=<>, 61292961=<>, 373316165=<>, 23742474=<>},1420579142643
{23354464=<>, 15111389=<>, 491638416=<>, 46358463=<>, 55252152=<>},1420579202643
{174890917=<>, 17437735=<>, 824157=<>, 166715703=<>, 1381345892=<>},1420579262643
{1618007706=<>, 17698956=<>, 251369428=<>, 811303=<>, 10069612=<>},1420579322643
{43216942=<>, 20146313=<>, 19034656=<>, 49437246=<>, 15646547=<>},1420579382643
{27103822=<>, 186222238=<>, 23973187=<>, 4380591=<>, 25870048=<>},1420579442643
{22990521=<>, 22948692=<>, 129917609=<>, 8861752=<>, 12413892=<>},1420579502643
{325220198=<>, 238115057=<>, 309220197=<>, 36573752=<>, 34541677=<>},1420579562643
{349227445=<>, 18725415=<>, 278093318=<>, 89787221=<>, 92733433=<>},1420579622643
{18964685=<>, 14192680=<>, 14845376=<>, 22192440=<>, 25242416=<>},1420579682643
{140080129=<>, 16621805=<>, 17810599=<>, 21842357=<>, 27091328=<>},1420579742643
{384479689=<>, 5146511=<>, 118292510=<>, 326821147=<>, 24426175=<>},1420579802643
{808721557=<>, 15836048=<>, 172496840=<>, 1566741842=<>, 12273252=<>},1420579862643
{15520253=<>, 1581203119=<>, 188077169=<>, 123576946=<>, 21986815=<>},1420579922643
{976147104=<>, 21862217=<>, 555359654=<>, 43285968=<>, 619739966=<>},1420579982643
{57333521=<>, 16253142=<>, 292289403=<>, 394078527=<>, 24206345=<>},1420580042643
{17070252=<>, 193232854=<>, 92791146=<>, 15980503=<>, 16045956=<>},1420580102643
{23354464=<>, 16262688=<>, 74578857=<>, 45710831=<>, 4282171=<>},1420580162643
{46213956=<>, 276554601=<>, 19287097=<>, 195897346=<>, 23742474=<>},1420580222643
{1618007706=<>, 109013694=<>, 12413892=<>, 824157=<>, 1381345892=<>},1420580282643
{384940104=<>, 119538278=<>, 17896885=<>, 40329236=<>, 44426926=<>},1420580342643
{567341777=<>, 15601977=<>, 152341106=<>, 21796484=<>, 18971670=<>},1420580402643
{114872969=<>, 60863619=<>, 17604456=<>, 20745130=<>, 7867072=<>},1420580462643
{17047743=<>, 174890917=<>, 25368027=<>, 387220815=<>, 104291835=<>},1420580522643
