{},1420574522643
{278093318=<>6  16, 140080129=<>16  8},1420580822643
{14845376==, 57333521=<>14  6},1420580882643
{21842357=<>24  18, 44426926=<>17  22},1420580942643
{14845376==, 8861752=<>5  24},1420581002643
{45710831=<>10  17, 12273252=<>19  12},1420581062643
{140080129=<>9  16, 57333521=<>17  14},1420581122643
{45710831==, 21842357=<>18  24},1420581182643
{14845376=<>6  23, 140080129=<>25  9},1420581242643
{21842357==, 57333521==},1420581302643
{14845376=<>21  6, 140080129=<>10  25},1420581362643
{57333521=<>10  17, 12273252==},1420581422643
{14192680=<>14  10, 45710831=<>20  10},1420581482643
{140080129==, 17166894=<>11  16},1420581542643
{21842357=<>21  18, 57333521==},1420581602643
{14192680=<>18  14, 140080129==},1420581662643
{34541677=<>15  0, 57333521=<>5  10},1420581722643
{1381345892=<>25  19, 15646547=<>12  6},1420581782643
{23354464=<>11  6, 7867072==},1420581842643
{1381345892==, 12413892=<>14  15},1420581902643
{14787749=<>12  20, 7867072=<>17  6},1420581962643
{1381345892=<>5  25, 17810599=<>22  10},1420582022643
{316053072=<>17  21, 7867072=<>21  17},1420582082643
{1381345892=<>13  5, 89787221=<>6  19},1420582142643
{8312862=<>23  16, 180026716=<>11  22},1420582202643
{23354464=<>19  11, 92733433=<>24  8},1420582262643
{180026716=<>13  11, 1618007706=<>5  15},1420582322643
{16045956=<>23  13, 1381345892==},1420582382643
{180026716=<>20  13, 57333521=<>9  5},1420582442643
{1381345892==, 17698956=<>15  5},1420582502643
{180026716==, 7867072==},1420582562643
{1381345892=<>10  13, 15484266=<>16  11},1420582622643
{180026716=<>12  20, 186222238=<>5  18},1420582682643
{27103822=<>12  16, 384940104=<>16  21},1420582742643
{1381345892==, 180026716=<>23  12},1420582802643
{17698956=<>9  15, 24773493=<>5  19},1420582862643
{1381345892=<>6  10, 180026716==},1420582922643
{14845376=<>13  21, 34541677=<>17  15},1420582982643
{180026716==, 96184837=<>6  21},1420583042643
{1381345892=<>17  6, 12273252=<>15  19},1420583102643
{180026716=<>14  23, 96184837==},1420583162643
{1381345892=<>12  17, 171716921=<>8  20},1420583222643
{55252152=<>20  19, 96184837=<>12  6},1420583282643
{16045956=<>11  23, 278093318=<>18  6},1420583342643
{180026716==, 96184837=<>6  12},1420583402643
{1381345892=<>13  12, 811303=<>21  18},1420583462643
