{73417273==, 278093318==, 12413892=<>},1420574522643
{73417273==, 278093318==, 89787221==},1420574582643
{278093318=<>, 12273252=<>, 183807568=<>},1420574642643
{73417273==, 12413892==, 183807568==},1420574702643
{17604456=<>, 183807568==, 38702668=<>},1420574762643
{278093318==, 309220197=<>, 183807568==},1420574822643
{73417273==, 89787221=<>, 183807568=<>},1420574882643
{23973187==, 12413892=<>, 12273252=<>},1420574942643
{24705687=<>, 34541677==, 824157=<>},1420575002643
{73417273==, 89787221=<>, 12413892==},1420575062643
{89787221==, 12413892=<>, 12273252=<>},1420575122643
{824157==, 217588851==, 18971670==},1420575182643
{17604456=<>, 278093318=<>, 55252152=<>},1420575242643
{73417273=<>, 278093318==, 12413892==},1420575302643
{278093318==, 824157=<>, 12273252==},1420575362643
{309220197=<>, 23973187==, 20745130==},1420575422643
{278093318=<>, 309220197=<>, 89787221==},1420575482643
{73417273=<>, 61292961=<>, 12413892==},1420575542643
{34541677==, 15445129==, 14787749=<>},1420575602643
{259637983==, 309220197==, 195897346=<>},1420575662643
{278093318==, 31634255=<>, 24849868=<>},1420575722643
{15836048=<>, 12273252=<>, 14745100=<>},1420575782643
{73417273=<>, 12413892=<>, 183807568=<>},1420575842643
{114872969=<>, 12273252==, 21986815==},1420575902643
{73417273==, 278093318=<>, 89787221==},1420575962643
{278093318==, 20745130==, 12273252==},1420576022643
{12413892==, 24849868=<>, 214214616==},1420576082643
{278093318==, 89787221=<>, 12413892==},1420576142643
{824157=<>, 45710831=<>, 183807568==},1420576202643
{15836048==, 15856366==, 183807568=<>},1420576262643
{278093318=<>, 12413892=<>, 12273252=<>},1420576322643
{130600206=<>, 38702668=<>, 44426926=<>},1420576382643
{73417273=<>, 278093318==, 19781206==},1420576442643
{34541677==, 108039570=<>, 183807568=<>},1420576502643
{309220197=<>, 61292961=<>, 824157==},1420576562643
{17604456=<>, 12413892=<>, 8923182=<>},1420576622643
{278093318=<>, 24705687=<>, 12273252==},1420576682643
{89787221==, 24849868==, 120985729=<>},1420576742643
{278093318=<>, 183807568=<>, 44426926=<>},1420576802643
{259637983==, 166715703=<>, 55252152=<>},1420576862643
{17810599=<>, 12413892=<>, 24849868=<>},1420576922643
{23973187=<>, 824157=<>, 24849868==},1420576982643
{108039570=<>, 195897346=<>, 10005212=<>},1420577042643
{22990521=<>, 73417273=<>, 15445129=<>},1420577102643
{278093318==, 89787221=<>, 24849868=<>},1420577162643
{19934731=<>, 17047743=<>, 1454742764=<>},1420577222643
{24705687==, 44426926=<>, 33320626=<>},1420577282643
{278093318=<>, 119538278=<>, 34541677=<>},1420577342643
{45710831==, 12273252==, 14745100==},1420577402643
{73417273=<>, 23973187=<>, 89787221=<>},1420577462643
{309220197=<>, 108039570==, 824157==},1420577522643
{24849868=<>, 10005212==, 44426926==},1420577582643
{73417273=<>, 824157==, 24849868==},1420577642643
{73417273==, 824157==, 15856366=<>},1420577702643
{278093318=<>, 24849868==, 12273252=<>},1420577762643
{309220197=<>, 24849868==, 338262255=<>},1420577822643
{309220197=<>, 89787221=<>, 33320626=<>},1420577882643
{73417273=<>, 278093318=<>, 824157==},1420577942643
{278093318=<>, 10005212==, 12273252==},1420578002643
{24705687=<>, 34541677==, 130447060=<>},1420578062643
{22990521=<>, 20745130=<>, 16277373=<>},1420578122643
{23973187=<>, 24849868==, 44426926==},1420578182643
{73417273=<>, 278093318=<>, 195897346=<>},1420578242643
{73417273==, 278093318==, 10005212==},1420578302643
{73417273==, 89787221=<>, 108039570==},1420578362643
{309220197=<>, 12413892=<>, 24426175=<>},1420578422643
{278093318==, 15445129==, 12273252=<>},1420578482643
{34541677==, 120985729==, 50225386==},1420578542643
{259637983=<>, 278093318=<>, 130447060==},1420578602643
{12794362==, 73417273=<>, 14787749=<>},1420578662643
{309220197=<>, 17604456=<>, 24849868=<>},1420578722643
{278093318==, 12413892==, 44426926=<>},1420578782643
{567341777==, 19781206=<>, 824157==},1420578842643
{12413892==, 10005212=<>, 12273252=<>},1420578902643
{73417273=<>, 278093318==, 41644754=<>},1420578962643
{17604456==, 130447060=<>, 14745100=<>},1420579022643
{278093318==, 34541677==, 338262255=<>},1420579082643
{309220197=<>, 61292961=<>, 23453742==},1420579142643
{24849868=<>, 55252152=<>, 33320626==},1420579202643
{89787221==, 824157=<>, 166715703=<>},1420579262643
{278093318=<>, 12413892=<>, 12273252=<>},1420579322643
{20146313=<>, 309220197=<>, 18811814==},1420579382643
{22990521=<>, 23973187=<>, 195897346==},1420579442643
{73417273=<>, 24849868=<>, 24426175=<>},1420579502643
{238115057=<>, 278093318==, 309220197==},1420579562643
{309220197==, 89787221=<>, 44426926==},1420579622643
{34541677=<>, 12273252==, 33320626==},1420579682643
{309220197=<>, 17810599=<>, 824157==},1420579742643
{278093318==, 89787221==, 14745100==},1420579802643
{15836048=<>, 172496840=<>, 1454742764==},1420579862643
{15856366==, 10005212=<>, 21986815=<>},1420579922643
{278093318=<>, 309220197=<>, 24849868==},1420579982643
{309220197==, 12413892==, 12273252==},1420580042643
{259637983==, 309220197=<>, 824157==},1420580102643
{22990521=<>, 278093318==, 45710831=<>},1420580162643
{46213956=<>, 20745130==, 89787221==},1420580222643
{278093318==, 34541677==, 12413892=<>},1420580282643
{119538278=<>, 824157=<>, 44426926=<>},1420580342643
{23973187=<>, 10005212=<>, 18971670=<>},1420580402643
{114872969=<>, 17604456=<>, 24849868=<>},1420580462643
{17047743=<>, 278093318=<>, 12273252=<>},1420580522643
{19934731=<>, 1454742764==, 108039570=<>},1420580582643
