{18964685=<>, 512403075=<>, 23354464=<>, 259637983=<>, 174890917=<>, 20096207=<>, 61292961=<>, 17810599=<>, 8861752=<>, 44426926=<>, 1381345892=<>, 17348724=<>, 57333521=<>, 15601977=<>, 46358463=<>, 27091328=<>, 24849868=<>, 811303=<>, 166715703=<>, 36440780=<>},1420576902643
{512403075=<>, 89316412=<>, 23354464=<>, 174890917=<>, 1618007706=<>, 61292961=<>, 23973187=<>, 17810599=<>, 8861752=<>, 7867072=<>, 44426926=<>, 1381345892=<>, 123576946=<>, 14845376=<>, 17348724=<>, 57333521=<>, 15601977=<>, 27091328=<>, 166715703=<>, 36440780=<>},1420577022643
{316053072=<>, 23354464=<>, 174890917=<>, 61292961=<>, 23973187=<>, 24773493=<>, 8861752=<>, 7867072=<>, 44426926=<>, 1381345892=<>, 14845376=<>, 123576946=<>, 57333521=<>, 15601977=<>, 25368027=<>, 15445129=<>, 27091328=<>, 24849868=<>, 326821147=<>, 12273252=<>},1420577142643
{17047743=<>, 23354464=<>, 174890917=<>, 1618007706=<>, 292289403=<>, 8861752=<>, 7867072=<>, 1381345892=<>, 14845376=<>, 57333521=<>, 16785615=<>, 73417273=<>, 15601977=<>, 278093318=<>, 1454742764=<>, 25368027=<>, 24849868=<>, 326821147=<>, 10069612=<>, 226606138=<>},1420577262643
{18725415=<>, 16262688=<>, 23354464=<>, 174890917=<>, 1618007706=<>, 292289403=<>, 24773493=<>, 7867072=<>, 1381345892=<>, 149157068=<>, 14845376=<>, 278093318=<>, 25368027=<>, 34541677=<>, 27091328=<>, 24849868=<>, 12273252=<>, 10069612=<>, 69020299=<>, 226606138=<>},1420577382643
{18964685=<>, 512403075=<>, 23354464=<>, 309220197=<>, 174890917=<>, 23973187=<>, 8861752=<>, 373316165=<>, 1381345892=<>, 14845376=<>, 15520253=<>, 22948692=<>, 73417273=<>, 278093318=<>, 34541677=<>, 16220541=<>, 25368027=<>, 326821147=<>, 203020760=<>, 226606138=<>},1420577502643
{512403075=<>, 23354464=<>, 309220197=<>, 174890917=<>, 23973187=<>, 1618007706=<>, 8861752=<>, 7867072=<>, 10005212=<>, 44426926=<>, 14845376=<>, 15520253=<>, 22948692=<>, 73417273=<>, 25368027=<>, 811303=<>, 92733433=<>, 326821147=<>, 12273252=<>, 10069612=<>},1420577622643
{23354464=<>, 174890917=<>, 1618007706=<>, 8861752=<>, 7867072=<>, 199358175=<>, 14811775=<>, 20133051=<>, 44426926=<>, 1381345892=<>, 14845376=<>, 15520253=<>, 8312862=<>, 25368027=<>, 21842357=<>, 15856366=<>, 104227735=<>, 27091328=<>, 24849868=<>, 12273252=<>},1420577742643
{34409159=<>, 23354464=<>, 174890917=<>, 309220197=<>, 23973187=<>, 7867072=<>, 14811775=<>, 20133051=<>, 1381345892=<>, 14845376=<>, 16785615=<>, 57333521=<>, 8312862=<>, 25368027=<>, 487535749=<>, 21842357=<>, 24849868=<>, 27091328=<>, 811303=<>, 472207757=<>},1420577862643
{34409159=<>, 316053072=<>, 89316412=<>, 18703477=<>, 808721557=<>, 23354464=<>, 174890917=<>, 309220197=<>, 20096207=<>, 7867072=<>, 17965433=<>, 1381345892=<>, 14845376=<>, 16785615=<>, 57333521=<>, 8312862=<>, 25368027=<>, 21842357=<>, 24849868=<>, 811303=<>},1420577982643
{316053072=<>, 18703477=<>, 35818653=<>, 23354464=<>, 174890917=<>, 20096207=<>, 24773493=<>, 8861752=<>, 7867072=<>, 14736904=<>, 10005212=<>, 14811775=<>, 14845376=<>, 57333521=<>, 73417273=<>, 22948692=<>, 130447060=<>, 21842357=<>, 811303=<>, 12273252=<>},1420578102643
{34409159=<>, 18703477=<>, 23354464=<>, 174890917=<>, 1581203119=<>, 23973187=<>, 7867072=<>, 14811775=<>, 1381345892=<>, 14845376=<>, 17348724=<>, 57333521=<>, 15520253=<>, 130447060=<>, 21842357=<>, 27091328=<>, 24849868=<>, 1365924662=<>, 12273252=<>, 36767344=<>},1420578222643
{34409159=<>, 11178672=<>, 23354464=<>, 10005212=<>, 15484266=<>, 149157068=<>, 1381345892=<>, 14845376=<>, 17348724=<>, 57333521=<>, 15520253=<>, 22948692=<>, 8312862=<>, 976147104=<>, 25368027=<>, 89787221=<>, 21842357=<>, 79292033=<>, 27091328=<>, 36767344=<>},1420578342643
{11178672=<>, 23354464=<>, 309220197=<>, 20745130=<>, 8861752=<>, 19205893=<>, 10005212=<>, 1381345892=<>, 14845376=<>, 17348724=<>, 321470779=<>, 57333521=<>, 22948692=<>, 73417273=<>, 8312862=<>, 25368027=<>, 21842357=<>, 104227735=<>, 326821147=<>, 41119424=<>},1420578462643
{316053072=<>, 567341777=<>, 23354464=<>, 309220197=<>, 1618007706=<>, 24773493=<>, 8861752=<>, 1381345892=<>, 14845376=<>, 17348724=<>, 57333521=<>, 73417273=<>, 22948692=<>, 16621805=<>, 130447060=<>, 21842357=<>, 15445129=<>, 104227735=<>, 12273252=<>, 41119424=<>},1420578582643
{89316412=<>, 16262688=<>, 259637983=<>, 567341777=<>, 1618007706=<>, 24773493=<>, 7867072=<>, 50225386=<>, 14845376=<>, 384479689=<>, 17348724=<>, 12794362=<>, 73417273=<>, 22948692=<>, 278093318=<>, 130447060=<>, 1006922053=<>, 92733433=<>, 12273252=<>, 69020299=<>},1420578702643
{567341777=<>, 23354464=<>, 309220197=<>, 1886740873=<>, 24773493=<>, 8861752=<>, 90714989=<>, 17472921=<>, 44426926=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 57333521=<>, 12794362=<>, 22948692=<>, 25368027=<>, 89787221=<>, 27091328=<>, 24849868=<>, 467431144=<>},1420578822643
{567341777=<>, 23354464=<>, 17472921=<>, 90714989=<>, 7867072=<>, 44426926=<>, 22192440=<>, 14845376=<>, 57333521=<>, 15920875=<>, 34541677=<>, 16220541=<>, 25368027=<>, 104227735=<>, 27091328=<>, 41644754=<>, 12273252=<>, 326821147=<>, 10069612=<>, 467431144=<>},1420578942643
{18964685=<>, 567341777=<>, 23354464=<>, 1618007706=<>, 8861752=<>, 7867072=<>, 20133051=<>, 44426926=<>, 14845376=<>, 57333521=<>, 8312862=<>, 34541677=<>, 130447060=<>, 25368027=<>, 21842357=<>, 27091328=<>, 41644754=<>, 326821147=<>, 12273252=<>, 10069612=<>},1420579062643
{18964685=<>, 23354464=<>, 15111389=<>, 309220197=<>, 61292961=<>, 8861752=<>, 17472921=<>, 373316165=<>, 23453742=<>, 23742474=<>, 44426926=<>, 14845376=<>, 57333521=<>, 50023090=<>, 8312862=<>, 25368027=<>, 21842357=<>, 24849868=<>, 27091328=<>, 41644754=<>},1420579182643
{18964685==, 174890917=<>, 61292961=<>, 39841830=<>, 7867072=<>, 23742474=<>, 14845376=<>, 384940104=<>, 73417273=<>, 278093318=<>, 44682474=<>, 15920875=<>, 34541677=<>, 17437735=<>, 811303=<>, 1364403168=<>, 92733433=<>, 12273252=<>, 326821147=<>, 472207757=<>},1420579302643
{18964685=<>, 23354464=<>, 174890917=<>, 309220197=<>, 23973187=<>, 8861752=<>, 17472921=<>, 1381345892=<>, 149157068=<>, 14845376=<>, 8312862=<>, 17437735=<>, 25368027=<>, 21842357=<>, 1006922053=<>, 24849868=<>, 27091328=<>, 811303=<>, 41644754=<>, 472207757=<>},1420579422643
{89316412=<>, 23354464=<>, 174890917=<>, 309220197=<>, 23973187=<>, 8861752=<>, 17472921=<>, 23742474=<>, 1381345892=<>, 14845376=<>, 325220198=<>, 57333521=<>, 12794362=<>, 8312862=<>, 129917609=<>, 36573752=<>, 25368027=<>, 21842357=<>, 24849868=<>, 41644754=<>},1420579542643
{238115057=<>, 567341777=<>, 23354464=<>, 174890917=<>, 309220197=<>, 1618007706=<>, 8861752=<>, 7867072=<>, 44426926=<>, 23742474=<>, 14845376=<>, 17348724=<>, 325220198=<>, 57333521=<>, 12794362=<>, 36573752=<>, 129917609=<>, 34541677=<>, 21842357=<>, 27091328=<>},1420579662643
{23354464=<>, 1581203119=<>, 174890917=<>, 24773493=<>, 17810599=<>, 8861752=<>, 7867072=<>, 23742474=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 17348724=<>, 57333521=<>, 16621805=<>, 36573752=<>, 21842357=<>, 27091328=<>, 36440780=<>, 326821147=<>, 12273252=<>},1420579782643
{23354464=<>, 1581203119=<>, 174890917=<>, 8861752=<>, 7867072=<>, 1566741842=<>, 23742474=<>, 1381345892=<>, 14845376=<>, 123576946=<>, 17348724=<>, 57333521=<>, 172496840=<>, 36573752=<>, 1454742764=<>, 21842357=<>, 27091328=<>, 1364403168=<>, 36440780=<>, 12273252=<>},1420579902643
{808721557=<>, 23354464=<>, 174890917=<>, 309220197=<>, 1581203119=<>, 17810599=<>, 8861752=<>, 1566741842=<>, 555359654=<>, 23742474=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 57333521=<>, 12794362=<>, 15520253=<>, 172496840=<>, 24849868=<>, 36440780=<>, 21986815=<>},1420580022643
{808721557=<>, 259637983=<>, 23354464=<>, 174890917=<>, 309220197=<>, 20096207=<>, 17810599=<>, 8861752=<>, 17472921=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 17348724=<>, 57333521=<>, 16253142=<>, 15520253=<>, 193232854=<>, 21842357=<>, 24849868=<>, 27091328=<>},1420580142643
{18964685=<>, 46213956=<>, 259637983=<>, 20745130=<>, 1618007706=<>, 20096207=<>, 24773493=<>, 7867072=<>, 10005212=<>, 23742474=<>, 14845376=<>, 17348724=<>, 15520253=<>, 19034656=<>, 34541677=<>, 1454742764=<>, 89787221=<>, 394078527=<>, 326821147=<>, 10069612=<>},1420580262643
{46213956=<>, 23354464=<>, 174890917=<>, 23973187=<>, 17810599=<>, 8861752=<>, 18970044=<>, 23742474=<>, 14845376=<>, 22192440=<>, 17348724=<>, 15520253=<>, 8312862=<>, 15601977=<>, 119538278=<>, 17437735=<>, 25368027=<>, 17896885=<>, 21842357=<>, 27091328=<>},1420580382643
{114872969=<>, 46213956=<>, 23354464=<>, 174890917=<>, 1581203119=<>, 23973187=<>, 18971670=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 15520253=<>, 15601977=<>, 8312862=<>, 17437735=<>, 25368027=<>, 17896885=<>, 21842357=<>, 27091328=<>, 24849868=<>, 472207757=<>},1420580502643
