[18964685],1420574922643
[189107456],1420574942643
[18725415],1420574962643
[259637983],1420574982643
[23354464],1420575002643
[309220197],1420575022643
[24705687],1420575042643
[23973187],1420575062643
[174083824],1420575082643
[108039570],1420575102643
[7867072],1420575122643
[824157],1420575142643
[14811775],1420575162643
[49437246],1420575182643
[87290802],1420575202643
[15601977],1420575222643
[16621805],1420575242643
[15920875],1420575262643
[21842357],1420575282643
[4380591],1420575302643
[18970044],1420575322643
[20660146],1420575342643
[12273252],1420575362643
[26337145],1420575382643
[326821147],1420575402643
[27103822],1420575422643
[11178672],1420575442643
[234484328],1420575462643
[186222238],1420575482643
[17070252],1420575502643
[174890917],1420575522643
[61292961],1420575542643
[17810599],1420575562643
[24773493],1420575582643
[8861752],1420575602643
[28319608],1420575622643
[18971670],1420575642643
[1381345892],1420575662643
[21044502],1420575682643
[104227735],1420575702643
[349227445],1420575722643
[512403075],1420575742643
[15836048],1420575762643
[15484266],1420575782643
[21104725],1420575802643
[35947725],1420575822643
[92791146],1420575842643
[183807568],1420575862643
[17965433],1420575882643
[22192440],1420575902643
