{18964685==, 74578857=<>, 17810599==},1420582022643
{316053072=<>, 89787221==, 24773493=<>},1420582082643
{6416622=<>, 34541677=<>, 24773493==},1420582142643
{34541677==, 24773493==, 824157=<>},1420582202643
{193232854==, 24705687=<>, 824157==},1420582262643
{193232854==, 70314632=<>, 824157==},1420582322643
{193232854==, 70314632==, 824157==},1420582382643
{174890917=<>, 193232854==, 34541677=<>},1420582442643
{89316412==, 193232854==, 824157==},1420582502643
{193232854==, 34541677==, 4380591=<>},1420582562643
{193232854==, 24773493==, 15445129=<>},1420582622643
{193232854==, 24773493==, 15445129==},1420582682643
{193232854==, 166715703=<>, 49437246=<>},1420582742643
{193232854==, 24773493==, 49437246==},1420582802643
{15601977=<>, 193232854=<>, 21986815=<>},1420582862643
{15601977==, 193232854==, 21986815==},1420582922643
{349227445=<>, 17145499==, 24773493==},1420582982643
{17145499==, 824157=<>, 8923182==},1420583042643
{17810599==, 824157==, 49437246==},1420583102643
{24773493==, 824157==, 49437246==},1420583162643
{15445129==, 2200632505=<>, 49437246=<>},1420583222643
{15445129=<>, 2200632505==, 49437246==},1420583282643
{15907716=<>, 15601977==, 824157==},1420583342643
{15601977==, 193232854==, 49437246==},1420583402643
{15601977==, 92791146==, 49437246=<>},1420583462643
