p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
24,29,20.0,33,29.0,27.0,383.0,381.0 
17,23,16.0,27,23.0,21.0,384.0,382.0 
16,22,13.0,24,22.0,19.0,385.0,382.0 
24,34,24.0,34,34.0,31.0,382.0,379.0 
25,31,23.0,33,31.0,28.0,386.0,383.0 
33,35,29.0,41,35.0,32.0,377.0,374.0 
26,28,21.0,34,28.0,25.0,379.0,376.0 
23,25,20.0,30,25.0,22.0,378.0,375.0 
25,31,24.0,33,31.0,28.0,379.0,376.0 
23,31,21.0,35,31.0,28.0,375.0,372.0 
19,28,18.0,29,28.0,25.0,384.0,381.0 
18,29,18.0,32,29.0,26.0,383.0,380.0 
17,24,15.0,26,24.0,21.0,388.0,385.0 
18,29,18.0,30,29.0,26.0,387.0,384.0 
23,32,22.0,35,32.0,29.0,382.0,379.0 
23,27,21.0,32,27.0,24.0,380.0,377.0 
23,32,21.0,34,32.0,29.0,383.0,380.0 
24,32,23.0,35,32.0,29.0,385.0,382.0 
23,29,20.0,30,29.0,26.0,383.0,380.0 
21,28,20.0,30,28.0,25.0,381.0,378.0 
27,33,26.0,37,33.0,30.0,376.0,373.0 
29,37,28.0,40,37.0,34.0,378.0,375.0 
23,32,21.0,36,32.0,29.0,385.0,382.0 
26,31,22.0,36,31.0,29.0,382.0,380.0 
25,31,25.0,32,31.0,28.0,385.0,382.0 
27,34,26.0,37,34.0,31.0,383.0,380.0 
29,35,28.0,41,35.0,32.0,385.0,382.0 
24,29,24.0,31,29.0,26.0,382.0,379.0 
23,25,22.0,29,25.0,22.0,384.0,381.0 
26,31,26.0,33,31.0,28.0,382.0,379.0 
25,29,25.0,31,29.0,26.0,382.0,379.0 
23,30,22.0,31,30.0,27.0,384.0,381.0 
27,32,25.0,36,32.0,29.0,376.0,373.0 
31,34,28.0,39,34.0,31.0,379.0,376.0 
30,37,30.0,37,37.0,34.0,382.0,379.0 
32,36,30.0,39,36.0,33.0,384.0,381.0 
