p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
7,10,7.0,33,27.0,24.0,299.0,296.0 
5,6,4.0,27,21.0,19.0,299.0,297.0 
3,6,2.0,24,19.0,16.0,299.0,296.0 
4,8,2.0,34,27.0,25.0,299.0,297.0 
6,10,6.0,33,28.0,25.0,300.0,297.0 
10,12,9.0,41,34.0,31.0,300.0,297.0 
6,7,4.0,34,26.0,23.0,297.0,294.0 
6,5,4.0,30,20.0,18.0,300.0,298.0 
6,10,6.0,33,27.0,24.0,305.0,302.0 
9,10,7.0,35,27.0,24.0,307.0,304.0 
7,7,3.0,29,22.0,20.0,306.0,304.0 
6,6,4.0,32,22.0,19.0,306.0,303.0 
3,4,2.0,26,16.0,14.0,303.0,301.0 
8,13,8.0,30,27.0,24.0,307.0,304.0 
8,9,6.0,35,27.0,26.0,299.0,298.0 
6,9,4.0,32,23.0,21.0,300.0,298.0 
9,12,5.0,34,23.0,20.0,302.0,299.0 
9,13,7.0,35,26.0,23.0,302.0,299.0 
6,6,2.0,30,21.0,20.0,299.0,298.0 
2,5,2.0,30,22.0,20.0,299.0,297.0 
7,9,6.0,37,27.0,24.0,304.0,301.0 
7,11,6.0,40,28.0,25.0,301.0,298.0 
9,9,5.0,36,22.0,20.0,301.0,299.0 
9,12,7.0,36,27.0,24.0,302.0,299.0 
8,8,5.0,32,23.0,21.0,300.0,298.0 
8,9,4.0,37,26.0,24.0,302.0,300.0 
9,14,7.0,41,31.0,28.0,302.0,299.0 
8,9,6.0,31,22.0,20.0,301.0,299.0 
11,12,9.0,29,23.0,20.0,297.0,294.0 
14,11,8.0,33,23.0,22.0,297.0,296.0 
9,10,7.0,31,22.0,20.0,298.0,296.0 
8,7,5.0,31,22.0,19.0,300.0,297.0 
9,8,6.0,36,27.0,25.0,299.0,297.0 
13,14,11.0,39,30.0,27.0,301.0,298.0 
10,13,7.0,37,29.0,27.0,305.0,303.0 
9,13,8.0,39,31.0,29.0,303.0,301.0 
