p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
22,24,20.0,33,24.0,22.0,302.0,300.0 
19,18,16.0,27,18.0,16.0,302.0,300.0 
17,15,14.0,24,15.0,12.0,301.0,298.0 
23,24,22.0,34,24.0,21.0,303.0,300.0 
23,24,20.0,33,24.0,22.0,300.0,298.0 
30,30,25.0,41,30.0,28.0,303.0,301.0 
25,26,19.0,34,26.0,24.0,301.0,299.0 
23,21,18.0,30,21.0,20.0,300.0,299.0 
23,24,20.0,33,24.0,21.0,301.0,298.0 
21,22,17.0,35,22.0,19.0,305.0,302.0 
19,18,15.0,29,18.0,16.0,307.0,305.0 
22,18,15.0,32,18.0,16.0,304.0,302.0 
16,15,13.0,26,15.0,12.0,305.0,302.0 
19,21,16.0,30,21.0,19.0,306.0,304.0 
23,20,17.0,35,20.0,19.0,303.0,302.0 
23,25,21.0,32,25.0,22.0,305.0,302.0 
28,27,25.0,34,27.0,24.0,305.0,302.0 
25,25,22.0,35,25.0,24.0,302.0,301.0 
21,20,18.0,30,20.0,19.0,303.0,302.0 
20,21,18.0,30,21.0,19.0,308.0,306.0 
27,27,21.0,37,27.0,25.0,311.0,309.0 
25,28,21.0,40,28.0,26.0,308.0,306.0 
27,23,20.0,36,23.0,23.0,307.0,307.0 
28,28,23.0,36,28.0,26.0,308.0,306.0 
26,23,20.0,32,23.0,21.0,306.0,304.0 
29,28,22.0,37,28.0,26.0,304.0,302.0 
31,33,25.0,41,33.0,30.0,307.0,304.0 
24,22,16.0,31,22.0,21.0,306.0,305.0 
21,20,14.0,29,20.0,17.0,306.0,303.0 
22,20,16.0,33,20.0,19.0,305.0,304.0 
20,18,14.0,31,18.0,17.0,308.0,307.0 
21,22,18.0,31,22.0,19.0,308.0,305.0 
26,29,24.0,36,29.0,27.0,308.0,306.0 
30,28,23.0,39,28.0,25.0,309.0,306.0 
28,28,25.0,37,28.0,25.0,312.0,309.0 
31,31,27.0,39,31.0,28.0,308.0,305.0 
