p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
59,60,52.0,84,60.0,57.0,294.0,291.0 
56,54,47.0,83,54.0,51.0,290.0,287.0 
56,49,44.0,81,49.0,47.0,288.0,286.0 
60,54,49.0,84,54.0,52.0,288.0,286.0 
53,52,45.0,81,52.0,50.0,295.0,293.0 
49,48,40.0,76,48.0,45.0,295.0,292.0 
47,45,36.0,77,45.0,42.0,292.0,289.0 
42,42,31.0,73,42.0,40.0,290.0,288.0 
43,42,32.0,74,42.0,39.0,292.0,289.0 
44,45,35.0,77,45.0,42.0,290.0,287.0 
46,50,37.0,78,50.0,47.0,293.0,290.0 
55,58,42.0,86,58.0,55.0,298.0,295.0 
53,53,44.0,80,53.0,50.0,295.0,292.0 
51,53,43.0,75,53.0,50.0,296.0,293.0 
48,50,41.0,75,50.0,47.0,295.0,292.0 
51,52,40.0,77,52.0,50.0,297.0,295.0 
51,52,40.0,78,52.0,49.0,295.0,292.0 
52,54,42.0,79,54.0,51.0,298.0,295.0 
56,54,43.0,82,54.0,51.0,295.0,292.0 
61,54,44.0,85,54.0,52.0,293.0,291.0 
65,60,47.0,90,60.0,58.0,293.0,291.0 
65,64,51.0,91,64.0,61.0,295.0,292.0 
64,62,52.0,88,62.0,59.0,298.0,295.0 
61,59,49.0,84,59.0,56.0,293.0,290.0 
59,59,48.0,84,59.0,56.0,296.0,293.0 
54,52,43.0,79,52.0,50.0,296.0,294.0 
57,54,46.0,85,54.0,51.0,294.0,291.0 
56,48,41.0,79,48.0,45.0,290.0,287.0 
57,51,42.0,79,51.0,48.0,289.0,286.0 
57,50,42.0,80,50.0,47.0,290.0,287.0 
59,49,43.0,79,49.0,47.0,290.0,288.0 
60,53,46.0,81,53.0,50.0,293.0,290.0 
62,56,48.0,84,56.0,54.0,294.0,292.0 
60,51,45.0,82,51.0,48.0,292.0,289.0 
58,49,43.0,80,49.0,46.0,292.0,289.0 
59,48,41.0,78,48.0,45.0,292.0,289.0 
