[140080129, 8861752, 104227735, 17698956, 10005212],1420574922643
[73417273, 19200736, 17472921, 36440780, 472207757],1420574942643
[114872969, 128044351, 5146511, 21796484, 27091328],1420574962643
[33491215, 24773493, 104227735, 36440780, 395194959],1420574982643
[33491215, 25368027, 8861752, 76162725, 12273252],1420575002643
[7023592, 278093318, 24705687, 76162725, 12273252],1420575022643
[278093318, 16621805, 23973187, 24773493, 183807568],1420575042643
[18964685, 15920875, 1618007706, 183807568, 12273252],1420575062643
[16253142, 16621805, 34541677, 1618007706, 49437246],1420575082643
[18725415, 76162725, 8861752, 195897346, 14811775],1420575102643
[16253142, 15601977, 73417273, 17070252, 92733433],1420575122643
[27103822, 976147104, 195897346, 25870048, 27091328],1420575142643
[174890917, 8861752, 19200736, 7867072, 15856366],1420575162643
[24705687, 174083824, 824157, 92733433, 55252152],1420575182643
[18964685, 118292510, 61292961, 19200736, 12413892],1420575202643
[174890917, 76162725, 14192680, 18971670, 55252152],1420575222643
[16262688, 278093318, 17070252, 1618007706, 21986815],1420575242643
[1618007706, 89787221, 15856366, 18970044, 55252152],1420575262643
[384479689, 8312862, 73417273, 4380591, 28319608],1420575282643
[19934731, 87290802, 17070252, 89787221, 12273252],1420575302643
[140080129, 16262688, 26337145, 23973187, 18971670],1420575322643
[384479689, 27103822, 174890917, 24773493, 17472921],1420575342643
[19934731, 19034656, 23973187, 16045956, 10069612],1420575362643
[8312862, 8861752, 76162725, 27091328, 21986815],1420575382643
[18964685, 384479689, 278093318, 12413892, 326821147],1420575402643
[23354464, 17070252, 174890917, 26337145, 166715703],1420575422643
[26337145, 8861752, 89787221, 27091328, 10069612],1420575442643
[234484328, 44682474, 18811814, 92733433, 120985729],1420575462643
[73417273, 46697447, 92733433, 23742474, 21986815],1420575482643
[140080129, 234484328, 89316412, 87290802, 7867072],1420575502643
[140080129, 20660146, 19964088, 23742474, 10069612],1420575522643
[18964685, 15601977, 17810599, 24773493, 27091328],1420575542643
[174890917, 7867072, 15445129, 326821147, 10069612],1420575562643
[384479689, 8861752, 7867072, 17698956, 69020299],1420575582643
[18964685, 17070252, 7867072, 226107231, 12273252],1420575602643
[140080129, 34541677, 12413892, 326821147, 14192680],1420575622643
[189107456, 23354464, 15445129, 104227735],1420575642643
[11178672, 278093318, 89787221, 8861752, 92733433],1420575662643
[89316412, 24773493, 31634255, 199358175, 202777395],1420575682643
[18964685, 186222238, 89787221, 7867072, 27091328],1420575702643
[512403075, 73417273, 976147104, 12413892, 92733433],1420575722643
[31634255, 1566741842, 202777395, 15484266, 17965433],1420575742643
[140080129, 27103822, 15601977, 24177962, 14845376],1420575762643
[140080129, 19274498, 1566741842, 15787325, 555359654],1420575782643
[1618007706, 89787221, 17698956, 15980503, 14745100],1420575802643
[17348724, 89316412, 44682474, 21796484],1420575822643
[525187154, 21044502, 487535749, 104227735, 21986815],1420575842643
[384479689, 27103822, 114872969, 202777395, 28319608],1420575862643
[35947725, 73417273, 17070252, 40996128, 12273252],1420575882643
[114872969, 186222238, 17070252, 21796484, 818340],1420575902643
