p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
28,26,25.0,33,26.0,26.0,305.0,305.0 
25,24,23.0,27,24.0,22.0,307.0,305.0 
21,18,17.0,24,18.0,17.0,304.0,303.0 
29,30,27.0,34,30.0,29.0,306.0,305.0 
31,29,28.0,33,29.0,27.0,305.0,303.0 
37,33,33.0,41,33.0,33.0,305.0,305.0 
31,29,28.0,34,29.0,27.0,308.0,306.0 
26,24,23.0,30,24.0,24.0,308.0,308.0 
28,25,24.0,33,25.0,25.0,310.0,310.0 
31,28,28.0,35,28.0,28.0,313.0,313.0 
27,25,25.0,29,25.0,23.0,312.0,310.0 
25,19,19.0,32,19.0,19.0,312.0,312.0 
22,18,17.0,26,18.0,18.0,317.0,317.0 
27,28,27.0,30,28.0,27.0,321.0,320.0 
32,31,30.0,35,31.0,29.0,321.0,319.0 
28,24,23.0,32,24.0,24.0,319.0,319.0 
30,28,27.0,34,28.0,27.0,319.0,318.0 
28,28,25.0,35,28.0,26.0,318.0,316.0 
26,25,23.0,30,25.0,24.0,316.0,315.0 
28,24,24.0,30,24.0,22.0,318.0,316.0 
33,27,27.0,37,27.0,27.0,319.0,319.0 
35,32,31.0,40,32.0,32.0,320.0,320.0 
31,26,26.0,36,26.0,26.0,319.0,319.0 
30,28,28.0,36,28.0,28.0,319.0,319.0 
29,26,26.0,32,26.0,25.0,318.0,317.0 
33,30,29.0,37,30.0,29.0,315.0,314.0 
35,32,30.0,41,32.0,31.0,314.0,313.0 
27,21,20.0,31,21.0,21.0,313.0,313.0 
28,23,23.0,29,23.0,20.0,311.0,308.0 
29,26,26.0,33,26.0,26.0,309.0,309.0 
27,22,22.0,31,22.0,22.0,310.0,310.0 
29,24,24.0,31,24.0,22.0,310.0,308.0 
29,27,24.0,36,27.0,26.0,311.0,310.0 
30,27,24.0,39,27.0,27.0,310.0,310.0 
29,28,25.0,37,28.0,28.0,314.0,314.0 
35,32,31.0,39,32.0,32.0,315.0,315.0 
