169193463,"alexwinterstv",Alex Winters,16267,1076,39485,1420544087078
12794362,"Breakingviews",ReutersBreakingviews,31917,3067,15883,1420544087078
58975906,"All_Goode53",Najee Goode,51674,28004,2176,1420544087078
116861193,"TWFTonyWilliams",Tony Williams,20254,1419,13090,1420544087078
16045956,"GroverNorquist",Grover Norquist,56417,1198,11303,1420544087078
92733433,"WaterlooRoad",Waterloo Road,68774,5124,7831,1420544087078
338262255,"Sosh_fr",Sosh_fr,88640,9760,70297,1420544087078
46213956,"JamilSmith",Jamil Smith,35261,1115,57702,1420544087078
393339671,"gusto_official",??? ???????,22359,14575,5003,1420544087078
309220197,"ReesesPBCups",REESE'S®,92131,1150,4510,1420544087078
206276555,"ridetheferry",NY Waterway,21100,19679,23189,1420544087078
131003396,"DODOsays",DODOcase,28744,28049,8145,1420544087078
123576946,"AmeriCamp",AmeriCamp,27858,17444,34015,1420544087078
186393629,"RAGEBLUEpress",RAGEBLUE press,13056,6889,871,1420544087078
15836048,"TysonFoods",Tyson Foods,33619,17720,5861,1420544087078
106144676,"MicrosoftES",Microsoft España,13918,2565,10094,1420544087078
96184837,"UniqloUSA",UNIQLO,35975,1811,7000,1420544087078
64283721,"ElroRaps",Elro,44617,1029,104189,1420544087078
326821147,"levoleague",Levo League,35720,1691,26371,1420544087078
18880366,"kumandgo",Kum & Go,12898,5938,20884,1420544087078
177438318,"Aagent23",Murphy,12594,2634,7588,1420544087078
17145499,"timcarman",Tim Carman,12627,1252,10796,1420544088586
35818653,"JamesPWolpert",James Wolpert,72572,2581,3909,1420544088586
19118802,"PaulPoteet",Paul Poteet Dot Com,24328,21423,65881,1420544088586
107024149,"Bowel_Cancer_UK",Bowel Cancer UK,35640,1120,8387,1420544088586
8861752,"baltimoresun",The Baltimore Sun,92037,11832,78960,1420544088586
24206345,"Quirky",Quirky,36954,3530,18465,1420544088586
243288765,"foxlife_ar",Fox Life Argentina,50723,9155,6637,1420544088586
525187154,"cherylfergison1",Cheryl Fergison,85921,4239,22051,1420544088586
9007322,"SpeedDate",SpeedDate,10135,9403,1285,1420544088586
19964983,"HonestFrank",Francis Keogh,19063,1078,40944,1420544088586
22948692,"Local4News",Local 4 WDIV Detroit,95408,1227,66637,1420544088586
27091328,"RonSexsmith",Ron Sexsmith,16657,7444,16752,1420544088586
226107231,"ELLE_KOREA",ELLE Korea,32709,4801,3999,1420544088586
43409523,"jonallendc",Jonathan Allen,16416,2128,6777,1420544088586
214214616,"JoeBeast95",Joe Smith,19822,2981,11887,1420544088586
386058485,"Larousse_latam",Larousse Latam,91654,23182,5116,1420544088586
182031748,"StateFarmNation",State Farm Nation,30364,1049,4276,1420544088586
15787325,"MarcioNovelli",Marcio Novelli,34192,20053,3627,1420544088586
14192680,"NOLAnews",NOLA.com,88563,1426,170858,1420544088586
321470779,"CountryOutfittr",Country Outfitter,19921,1159,5599,1420544088586
118292510,"andresmunoza",Andrés Muñoz Araneda,49030,1223,59248,1420544088586
